0.100000 0.010000 1 -3.49381e-05
0.100000 0.010000 2 -0.000301887
0.100000 0.010000 3 -0.00141704
0.100000 0.010000 4 -0.00440296
0.100000 0.010000 5 -0.0092231
0.100000 0.010000 6 -0.015955
0.100000 0.010000 7 -0.0250426
0.100000 0.010000 8 -0.0366807
0.100000 0.010000 9 -0.0515095
0.100000 0.010000 10 -0.0695637
0.100000 0.020000 1 -3.65934e-05
0.100000 0.020000 2 -0.000313451
0.100000 0.020000 3 -0.00148429
0.100000 0.020000 4 -0.00457565
0.100000 0.020000 5 -0.00954025
0.100000 0.020000 6 -0.0165722
0.100000 0.020000 7 -0.0257845
0.100000 0.020000 8 -0.0379025
0.100000 0.020000 9 -0.0532674
0.100000 0.020000 10 -0.071844
0.100000 0.030000 1 -3.68864e-05
0.100000 0.030000 2 -0.00032827
0.100000 0.030000 3 -0.00153188
0.100000 0.030000 4 -0.0047471
0.100000 0.030000 5 -0.00984302
0.100000 0.030000 6 -0.016952
0.100000 0.030000 7 -0.0265374
0.100000 0.030000 8 -0.0388894
0.100000 0.030000 9 -0.0547193
0.100000 0.030000 10 -0.0741255
0.100000 0.040000 1 -3.94123e-05
0.100000 0.040000 2 -0.000338544
0.100000 0.040000 3 -0.00163152
0.100000 0.040000 4 -0.00483361
0.100000 0.040000 5 -0.0100682
0.100000 0.040000 6 -0.0171348
0.100000 0.040000 7 -0.0271557
0.100000 0.040000 8 -0.0397848
0.100000 0.040000 9 -0.0555919
0.100000 0.040000 10 -0.0754563
0.100000 0.050000 1 -4.25955e-05
0.100000 0.050000 2 -0.000347208
0.100000 0.050000 3 -0.00152583
0.100000 0.050000 4 -0.00494885
0.100000 0.050000 5 -0.0102006
0.100000 0.050000 6 -0.0175456
0.100000 0.050000 7 -0.0275093
0.100000 0.050000 8 -0.0404854
0.100000 0.050000 9 -0.0564243
0.100000 0.050000 10 -0.0763308
0.200000 0.010000 1 -3.50071e-05
0.200000 0.010000 2 -0.000316885
0.200000 0.010000 3 -0.00144913
0.200000 0.010000 4 -0.00458108
0.200000 0.010000 5 -0.00958274
0.200000 0.010000 6 -0.0164808
0.200000 0.010000 7 -0.025834
0.200000 0.010000 8 -0.0379202
0.200000 0.010000 9 -0.0532375
0.200000 0.010000 10 -0.0720852
0.200000 0.020000 1 -3.65067e-05
0.200000 0.020000 2 -0.000341501
0.200000 0.020000 3 -0.00152925
0.200000 0.020000 4 -0.00484826
0.200000 0.020000 5 -0.00999434
0.200000 0.020000 6 -0.0172698
0.200000 0.020000 7 -0.0270852
0.200000 0.020000 8 -0.0397307
